review,label
Satisfactory #3425,average
Didn’t work well #3980,bad
Disappointed #8294,bad
Extremely poor #578,terrible
Excellent product #9470,excellent
Big mistake #4282,terrible
Wasted my money #400,worst
Comfortable and nice #5965,nice
Nothing special #3842,average
Outstanding performance #9696,excellent
Outstanding performance #492,excellent
Excellent product #3729,excellent
Poor build #6348,poor
Could be better #4949,bad
Top-notch item #4758,excellent
Highly recommend #1801,excellent
Nice look #619,nice
Good quality #7107,good
Nothing special #196,average
Good quality #6713,good
Poor quality #6458,bad
Horrible experience #5631,worst
Terrible product #5445,terrible
Stopped working #6725,bad
Nice performance #9902,good
Needs improvement #2123,poor
Broke quickly #4136,poor
Feels premium #1403,nice
Very disappointed #2458,terrible
Highly recommend #9418,excellent
Mediocre performance #2458,average
Defective item #4845,worst
Disappointed #7291,bad
Stopped working #8382,bad
Overpriced for quality #2800,bad
Value for money #5971,good
Nice look #3462,nice
Nice packaging #9934,nice
Didn’t work well #6375,bad
Very bad quality #4828,worst
Outstanding performance #2707,excellent
Worst ever #3940,worst
Nothing special #7144,average
Defective item #447,worst
Defective item #9166,worst
Completely useless #999,worst
Exceeds expectations #9486,excellent
Worst ever #8836,worst
Feels premium #4978,nice
Never buying again #4519,worst
Moderate quality #9916,average
Big mistake #3624,terrible
Perfect purchase #9858,excellent
Needs improvement #9989,poor
Exceeds expectations #5888,excellent
Mediocre performance #2091,average
Poor build #4235,poor
Happy with it #2085,good
Product is decent #9575,good
Product broke immediately #7426,terrible
Below average #3217,poor
Looks good #2845,nice
Not as expected #7346,bad
Top-notch item #7167,excellent
Nice performance #560,good
Overpriced for quality #2664,bad
Terrible service #4408,worst
Satisfactory #6546,average
Just fine #9229,average
Meets expectations #575,good
Satisfactory #3643,average
Not worth it #2575,poor
Very disappointed #820,terrible
Satisfactory #4404,average
Disappointed #721,bad
Very disappointed #6721,terrible
Awful quality #4720,terrible
Design is good #6893,nice
Completely useless #5802,worst
Never buying again #8546,worst
Big mistake #2288,terrible
Terrible service #6195,worst
Product broke immediately #8540,terrible
Nice performance #6444,good
Flimsy material #2000,bad
Below average #9915,poor
Highly recommend #1074,excellent
Design is good #5706,nice
Defective item #9210,worst
Completely useless #118,worst
Nice look #6494,nice
Value for money #2754,good
"Not bad, not great #1389",average
Stopped working #2407,bad
"Not bad, not great #4781",average
Not as expected #794,bad
Low durability #308,poor
It’s okay #4235,average
Good aesthetics #9673,nice
Nice performance #2991,good
Product is decent #7849,good
Worst ever #3072,worst
Not as expected #2493,bad
Product broke immediately #9196,terrible
It’s okay #3979,average
Stopped working #3861,bad
Not worth it #4450,poor
Cheap materials #2437,poor
Outstanding performance #958,excellent
Flimsy material #9078,bad
Mediocre performance #4843,average
Low durability #1823,poor
Could be better #3468,bad
Completely useless #4045,worst
Moderate quality #6373,average
Horrible experience #4527,worst
Works well #3050,good
It’s okay #250,average
Feels premium #7610,nice
Low durability #2149,poor
Excellent product #899,excellent
Perfect purchase #4920,excellent
Nice performance #1071,good
Top-notch item #2538,excellent
Awful quality #2317,terrible
Nice packaging #1078,nice
Superb quality #2818,excellent
Design is good #5113,nice
Worst ever #1644,worst
Broke quickly #2494,poor
Low durability #6501,poor
Value for money #3900,good
Not as expected #419,bad
Excellent product #1927,excellent
Poor build #4178,poor
Very bad quality #9576,worst
Poor quality #2130,bad
Average experience #5157,average
Needs improvement #6396,poor
Average experience #1450,average
Good quality #9299,good
Comfortable and nice #1683,nice
Mediocre performance #2411,average
Moderate quality #5475,average
Happy with it #3199,good
Just fine #3859,average
Below average #3693,poor
Nothing special #9049,average
Comfortable and nice #5907,nice
Completely useless #6897,worst
Poor build #8715,poor
Horrible experience #4646,worst
Very disappointed #8934,terrible
Could be better #715,bad
Mediocre performance #1462,average
Product broke immediately #4427,terrible
Really good product #2404,good
Satisfactory #6742,average
Overpriced for quality #8144,bad
Feels premium #3752,nice
Broke quickly #5439,poor
Completely useless #9492,worst
Pleased with the appearance #3468,nice
Never buying again #3304,worst
Awful quality #9448,terrible
Disheartening purchase #7750,poor
Nice look #2057,nice
Flimsy material #8750,bad
Works well #2210,good
Satisfactory #440,average
Meets expectations #2631,good
Meets expectations #9425,good
Didn’t work well #2078,bad
Not worth it #7920,poor
"Not bad, not great #727",average
Worst value #6481,terrible
Very disappointed #3168,terrible
Overpriced for quality #596,bad
Fantastic choice #2185,excellent
Never buying again #8399,worst
Overpriced for quality #6470,bad
Very bad quality #3481,worst
Looks good #8143,nice
Pleased with the appearance #6941,nice
Terrible service #8801,worst
Happy with it #1404,good
Looks good #619,nice
Exceeds expectations #1804,excellent
Terrible service #3414,worst
Product broke immediately #9250,terrible
Value for money #6258,good
Nice look #3918,nice
